qid,step,dists,elaps_ms,inserts,first_nn_dist,nn_dist,avg_dist,furthest_dist,percentile_25,percentile_50,percentile_75,percentile_95,variance,std,range,skewness,kurtosis,energy,nn10_dist,nn_to_first,nn10_to_first,RDE,TDR,NRS,feats_collect_time_ms,r
0,80,2012,1.626968,272,63813.000000,0.000000,67969.453125,75967.000000,67121.000000,70333.000000,72926.000000,75729.000000,98951680.000000,9947.446289,75967.000000,-4113572036608.000000,22.456921,471879843840.000000,58292.000000,0.000000,0.913482,-nan,0.000000,-1.000000,0.319958,0.960000
1,80,2596,1.893997,314,73410.000000,0.000000,68919.328125,76191.000000,66762.000000,71039.000000,73166.000000,75625.000000,77607936.000000,8809.537109,76191.000000,-3435067867136.000000,35.085930,482748137472.000000,60409.000000,0.000000,0.822899,-nan,0.000000,-1.000000,0.133038,0.960000
2,81,2284,1.685143,250,83576.000000,0.000000,73579.296875,82326.000000,72517.000000,77264.000000,80237.000000,82199.000000,175972352.000000,13265.457031,82326.000000,-8417263484928.000000,14.492699,558988525568.000000,65485.000000,0.000000,0.783538,-nan,0.000000,-1.000000,0.133991,0.980000
3,81,1892,1.484156,267,39470.000000,0.000000,35605.710938,40097.000000,33971.000000,36799.000000,38775.000000,39967.000000,26404480.000000,5138.528809,40097.000000,-525357547520.000000,22.032169,129417117696.000000,30472.000000,0.000000,0.772029,-nan,0.000000,0.000000,0.133038,1.000000
4,82,1915,1.511097,337,78787.000000,0.000000,63576.218750,76210.000000,59392.000000,67918.000000,72788.000000,75120.000000,189012224.000000,13748.171875,76210.000000,-6477683097600.000000,7.498622,423094779904.000000,51779.000000,0.000000,0.657202,-nan,0.000000,-1.000000,0.118971,0.990000
5,80,2505,1.838923,322,74765.000000,0.000000,71010.039062,76739.000000,68822.000000,73666.000000,75140.000000,76528.000000,87508992.000000,9354.624023,76739.000000,-4177828773888.000000,32.549362,512993492992.000000,66832.000000,0.000000,0.893894,-nan,0.000000,-1.000000,0.124931,0.900000
6,80,2741,1.980066,291,72042.000000,0.000000,66334.507812,77377.000000,64884.000000,72042.000000,74925.000000,76914.000000,266865152.000000,16336.007812,77377.000000,-11583560351744.000000,6.632779,466713214976.000000,47204.000000,0.000000,0.655229,-nan,0.000000,-1.000000,0.114202,0.980000
7,81,3058,2.177954,289,0.000000,0.000000,74426.117188,79675.000000,73529.000000,76752.000000,78303.000000,79280.000000,76321792.000000,8736.234375,79675.000000,-4229636816896.000000,50.025833,561556881408.000000,67079.000000,-1.000000,-1.000000,-nan,0.000000,-1.000000,0.123024,0.930000
8,80,1431,1.201868,261,34513.000000,0.000000,33999.550781,39076.000000,31665.000000,35009.000000,37790.000000,38858.000000,28023168.000000,5293.691406,39076.000000,-432252387328.000000,14.889404,118399254528.000000,27484.000000,0.000000,0.796338,-nan,0.000000,0.000000,0.117064,1.000000
9,81,1305,1.100063,248,41883.000000,0.000000,30852.349609,35684.000000,28965.000000,31971.000000,33909.000000,35495.000000,25905152.000000,5089.710449,35684.000000,-421865193472.000000,14.961277,97777262592.000000,25975.000000,0.000000,0.620180,-nan,0.000000,-1.000000,0.117064,0.990000
