method,dataset,target_recall,total_queries,hit_queries,hit_ratio
laet,SIFT1M,0.90,10000,6596,65.96%
laet,SIFT1M,0.92,10000,6671,66.71%
laet,SIFT1M,0.94,10000,7251,72.51%
laet,SIFT1M,0.96,10000,7317,73.17%
laet,SIFT1M,0.98,10000,7771,77.71%
laet,DEEP10M,0.90,10000,6611,66.11%
laet,DEEP10M,0.92,10000,7110,71.10%
laet,DEEP10M,0.94,10000,7315,73.15%
laet,DEEP10M,0.96,10000,7636,76.36%
laet,DEEP10M,0.98,10000,8034,80.34%
laet,GIST1M,0.90,1000,640,64.00%
laet,GIST1M,0.92,1000,630,63.00%
laet,GIST1M,0.94,1000,688,68.80%
laet,GIST1M,0.96,1000,713,71.30%
laet,GIST1M,0.98,1000,775,77.50%
laet,GLOVE100,0.90,10000,7478,74.78%
laet,GLOVE100,0.92,10000,7006,70.06%
laet,GLOVE100,0.94,10000,7786,77.86%
laet,GLOVE100,0.96,10000,8191,81.91%
laet,GLOVE100,0.98,10000,8797,87.97%
laet,T2I1M,0.90,10000,9427,94.27%
laet,T2I1M,0.92,10000,9321,93.21%
laet,T2I1M,0.94,10000,9149,91.49%
laet,T2I1M,0.96,10000,8939,89.39%
laet,T2I1M,0.98,10000,8660,86.60%
darth,SIFT1M,0.90,10000,7794,77.94%
darth,SIFT1M,0.92,10000,8002,80.02%
darth,SIFT1M,0.94,10000,8251,82.51%
darth,SIFT1M,0.96,10000,8500,85.00%
darth,SIFT1M,0.98,10000,9005,90.05%
darth,DEEP10M,0.90,10000,7761,77.61%
darth,DEEP10M,0.92,10000,8000,80.00%
darth,DEEP10M,0.94,10000,8285,82.85%
darth,DEEP10M,0.96,10000,8639,86.39%
darth,DEEP10M,0.98,10000,9015,90.15%
darth,GIST1M,0.90,1000,783,78.30%
darth,GIST1M,0.92,1000,802,80.20%
darth,GIST1M,0.94,1000,805,80.50%
darth,GIST1M,0.96,1000,845,84.50%
darth,GIST1M,0.98,1000,891,89.10%
darth,GLOVE100,0.90,10000,9106,91.06%
darth,GLOVE100,0.92,10000,9143,91.43%
darth,GLOVE100,0.94,10000,9199,91.99%
darth,GLOVE100,0.96,10000,9299,92.99%
darth,GLOVE100,0.98,10000,9299,92.99%
darth,T2I1M,0.90,10000,8640,86.40%
darth,T2I1M,0.92,10000,8825,88.25%
darth,T2I1M,0.94,10000,8964,89.64%
darth,T2I1M,0.96,10000,9065,90.65%
darth,T2I1M,0.98,10000,9090,90.90%
raet,SIFT1M,0.90,10000,6605,66.05%
raet,SIFT1M,0.92,10000,6626,66.26%
raet,SIFT1M,0.94,10000,7472,74.72%
raet,SIFT1M,0.96,10000,8596,85.96%
raet,SIFT1M,0.98,10000,9184,91.84%
raet,DEEP10M,0.90,10000,7419,74.19%
raet,DEEP10M,0.92,0,0,nan%
raet,DEEP10M,0.94,10000,8429,84.29%
raet,DEEP10M,0.96,0,0,nan%
raet,DEEP10M,0.98,10000,9409,94.09%
raet,GIST1M,0.90,1000,629,62.90%
raet,GIST1M,0.92,1000,635,63.50%
raet,GIST1M,0.94,1000,765,76.50%
raet,GIST1M,0.96,1000,846,84.60%
raet,GIST1M,0.98,1000,889,88.90%
raet,GLOVE100,0.90,10000,8221,82.21%
raet,GLOVE100,0.92,10000,8259,82.59%
raet,GLOVE100,0.94,10000,8281,82.81%
raet,GLOVE100,0.96,10000,8495,84.95%
raet,GLOVE100,0.98,10000,8600,86.00%
raet,T2I1M,0.90,10000,7448,74.48%
raet,T2I1M,0.92,10000,7476,74.76%
raet,T2I1M,0.94,10000,7998,79.98%
raet,T2I1M,0.96,10000,9115,91.15%
raet,T2I1M,0.98,10000,9047,90.47%
raet_CNS_regression,SIFT1M,0.90,10000,9386,93.86%
raet_CNS_regression,SIFT1M,0.92,10000,7936,79.36%
raet_CNS_regression,SIFT1M,0.94,10000,7264,72.64%
raet_CNS_regression,SIFT1M,0.96,10000,6730,67.30%
raet_CNS_regression,SIFT1M,0.98,10000,7331,73.31%
raet_CNS_regression,DEEP10M,0.90,10000,8704,87.04%
raet_CNS_regression,DEEP10M,0.92,10000,8299,82.99%
raet_CNS_regression,DEEP10M,0.94,10000,7840,78.40%
raet_CNS_regression,DEEP10M,0.96,10000,7232,72.32%
raet_CNS_regression,DEEP10M,0.98,10000,7018,70.18%
raet_CNS_regression,GIST1M,0.90,1000,514,51.40%
raet_CNS_regression,GIST1M,0.92,1000,498,49.80%
raet_CNS_regression,GIST1M,0.94,1000,479,47.90%
raet_CNS_regression,GIST1M,0.96,1000,449,44.90%
raet_CNS_regression,GIST1M,0.98,1000,496,49.60%
raet_CNS_regression,GLOVE100,0.90,10000,9458,94.58%
raet_CNS_regression,GLOVE100,0.92,10000,9310,93.10%
raet_CNS_regression,GLOVE100,0.94,10000,9099,90.99%
raet_CNS_regression,GLOVE100,0.96,10000,8766,87.66%
raet_CNS_regression,GLOVE100,0.98,10000,8379,83.79%
raet_CNS_regression,T2I1M,0.90,10000,7009,70.09%
raet_CNS_regression,T2I1M,0.92,10000,7223,72.23%
raet_CNS_regression,T2I1M,0.94,10000,7448,74.48%
raet_CNS_regression,T2I1M,0.96,10000,8184,81.84%
raet_CNS_regression,T2I1M,0.98,10000,7985,79.85%
